StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,Prolific ID,Age,Gender,NativeLanguage,YearEnglish,Ethnicity,Ethnicity_6_TEXT,BornCountry,YearsUS,MomBorn,DadBorn,EmpoymentStatus,Annual-Income,HighestDegree,Ideology,PoliticalParty,Body-Naked_1,Body-Naked_2,Body-Bowel_1,Body-Bowel_2,Body-Genital_1,Body-Genital_2,Judgment-Sex_1,Judgment-Sex_2,Judgment-Smoke_1,Judgment-Smoke_2,Judgment-Medicine_1,Judgment-Medicine_2,Chaperone-Attitude,ChaperoneExperience,ChaperoneDetail,Chaperone-Preference,Physician-Recall,Physician-Gender,Physician-Previous,Chaperone-Presence,Mispresent,ExaminePrivate,BodilyEmbarrassment,Envy1,Envy2,Envy3,Attention1,Envy4,Envy5,Envy6,Envy7,Envy8,EnviedRecall,EnvyBehavior,EnvyBehavior_4_TEXT,EnvyUnfair,EnvyUnfair_5_TEXT,EnviedResponse,EnviedResponse_6_TEXT,Relationship,Envied-Enjoyment,Envied-PA-Preference,Envied-PA-Enjoyment,Envied-FC-Preference,Envied-FC-Enjoyment,Questions: 1C_1,Questions: 1C_2,Questions: 1C_3,Questions: 1C_4,Questions: 1C_5,Questions: 1A_1,Questions: 1A_2,Questions: 1A_3,Questions: 1A_4,Questions: 1A_5,Questions: 1C+C_1,Questions: 1C+C_2,Questions: 1C+C_3,Questions: 1C+C_4,Questions: 1C+C_5,Questions: 1A+C_1,Questions: 1A+C_2,Questions: 1A+C_3,Questions: 1A+C_4,Questions: 1A+C_5,2A: Q1,2A: Q2,2A: Q3,2A: Q4,2A: Q5,2A: Q6,2A: Q7,2A: Q8,2A: Q9,2A: Q10,2A: Q11,2A: Q12,2A: Q13_1,2A: Q13_2,2A: Q13_3,2A: Q13_4,2A: Q13_5,2B: Q1,2B: Q2,2B: Q3,2B: Q4,2B: Q5,2B: Q6,2B: Q7,2B: Q8,2B: Q9,2B: Q10,2B: Q11,2B: Q12,2B: Q13_1,2B: Q13_2,2B: Q13_3,2B: Q13_4,2B: Q13_5,FreeResponse1,FreeResponse2,1-Prohibited,1-StudentAllow,1-FacultyAllow,1-LibraryAllow,2-Prohibited,2-StudentAllow,2-FacultyAllow,2-LibraryAllow,Feedback,PROLIFIC_PID,FL_2_DO,FL_3_DO,EmbarrassmentScenario(randomization)_DO
5/1/2021 18:56,5/1/2021 19:06,IP Address,100,576,TRUE,5/1/2021 19:06,R_2fj8kPtATmFCtZW,anonymous,EN,Yes,5c03448ca33dc3000159e4ba,27,Female,"100%		English (US)",,Caucasian,,United States of America,,Hungary,Hungary,Unemployed,"Less than $25,000",Bachelor's degree in college (4-year),Very liberal,Strong democrat,7,6,6,4,7,5,5,7,4,5,6,7,I prefer to have a chaperone present but only if they are female,No,,Female Doctor,Yes,Female,Yes,No,No,Yes,4,Somewhat agree,Agree,Somewhat disagree,Strongly disagree,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,No,,,,,,,,,Strongly prefer Jamie is somewhere else,Dislike,No preference,Neither like nor dislike,,,,,,,,,,,,,,,,5,4,4,1,5,"My charity earns $1,000,000; Daniel P. earns $50,000","My charity earns $1,000,000; Daniel P. earns $50,000","My charity earns $1,100,000; Daniel P. earns $55,000","My charity earns $1,200,000; Daniel P. earns $60,000 ","My charity earns $1,300,000; Daniel P. earns $65,000 ","My charity earns $1,400,000; Daniel P. earns $70,000","My charity earns $1,500,000; Daniel P. earns $75,000 ","My charity earns $1,600,000; Daniel P. earns $80,000 ","My charity earns $1,700,000; Daniel P. earns $85,000","My charity earns $1,800,000; Daniel P. earns $90,000 ","My charity earns $1,900,000; Daniel P. earns $95,000 ","My charity earns $2,000,000; Daniel P. earns $100,000 ",3,3,5,7,7,,,,,,,,,,,,,,,,,,"That rich people have the wealth that they have because they deserve it, and that poor people are in poverty because they behaved in a way that makes them deserving of poverty.",The planet and nature are here for people to exploit for human use.,"No, it should not be prohibited","Yes, it should be allowed","Yes, it should be allowed",No they shouldn’t avoid it,No,Yes,Yes,No they should't avoid it,,,Advertising+Counterfactual,CharitableFundraiser,Emb-Instruction|Judgment-Sex|Judgment-Smoke|Judgment-Medicine|Body-Bowel|Body-Naked|Body-Genital
5/1/2021 18:54,5/1/2021 19:06,IP Address,100,707,TRUE,5/1/2021 19:06,R_3FPTqCy3g6eTLbr,anonymous,EN,Yes,603831e0ffe72f15e2ee0138,25,Female,"100%		English (US)",,Caucasian,,United States of America,,United States of America,United States of America,Employed part time,"$25,000-$50,000",Bachelor's degree in college (4-year),Liberal,Lean Democrat,5,3,2,2,4,3,5,6,4,6,6,4,I prefer no chaperone,No,,Female Doctor,Yes,Female,Yes,No,No,Yes,3,Disagree,Somewhat disagree,Disagree,Strongly disagree,Agree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Yes,The person said he/she was envious of you.,,No,,I was nice to the person.,,4,Somewhat dislike,Prefer Jamie is somewhere else,Dislike,Strongly prefer the middle door,Strongly Dislike,4,5,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"My company earns $1,100,000; other organizer earns $10,000","My company earns $1,000,000; other organizer earns $10,000","My company earns $1,100,000; Daniel P. earns $55,000","My company earns $1,200,000; Daniel P. earns $60,000","My company earns $1,300,000; Daniel P. earns $65,000","My company earns $1,400,000; Daniel P. earns $70,000","My company earns $1,500,000; Daniel P. earns $75,000","My company earns $1,600,000; Daniel P. earns $80,000","My company earns $1,700,000; Daniel P. earns $85,000","My company earns $1,800,000; Daniel P. earns $90,000","My company earns $1,900,000; Daniel P. earns $95,000","My company earns $2,000,000; Daniel P. earns $100,000",3,3,2,5,2,a fetus' right to life that supersedes the bodily autonomy of its mother,white people are inherently superior to people of other races,"No, it should not be prohibited","No, it should not be allowed","No, it should not be allowed",No they shouldn’t avoid it,No,No,No,No they should't avoid it,,,Charity,CorporateFundraiser,Emb-Instruction|Judgment-Medicine|Body-Naked|Judgment-Sex|Body-Genital|Body-Bowel|Judgment-Smoke
5/1/2021 18:57,5/1/2021 19:09,IP Address,100,709,TRUE,5/1/2021 19:09,R_1C3DVtaC4j03zOE,anonymous,EN,Yes,5f677404786b013835571054,25,Female,"100%		English (US)",,Caucasian,,United States of America,,United States of America,United States of America,Employed full time,"$50,000-$100,000",Some college but no degree,Very liberal,Strong democrat,6,7,3,6,3,4,2,5,2,6,4,6,I slightly prefer no chaperone,Yes,"A male medical student was present for my pelvic exam. I would have preferred a female if there had to be one, even more preferred to have not had one at all.",Female Doctor,Yes,Female,Yes,No,I don’t recall,No,,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither disagree nor agree,Yes,The person said he/she was envious of you.,,No,,I downplayed my success.,,7,Strongly dislike,Prefer Jamie is somewhere else,Strongly Dislike,Strongly prefer the middle door,Strongly Dislike,,,,,,,,,,,,,,,,4,4,4,1,6,"My charity earns $1,100,000; other organizer earns $10,000","My charity earns $1,000,000; Daniel P. earns $50,000","My charity earns $1,100,000; Daniel P. earns $55,000","My charity earns $1,200,000; Daniel P. earns $60,000 ","My charity earns $1,300,000; Daniel P. earns $65,000 ","My charity earns $1,400,000; Daniel P. earns $70,000","My charity earns $1,500,000; Daniel P. earns $75,000 ","My charity earns $1,600,000; Daniel P. earns $80,000 ","My charity earns $1,700,000; Daniel P. earns $85,000","My charity earns $1,800,000; Daniel P. earns $90,000 ","My charity earns $1,900,000; Daniel P. earns $95,000 ","My charity earns $2,000,000; Daniel P. earns $100,000 ",5,5,6,6,5,,,,,,,,,,,,,,,,,,One race is superior to another.,Global warming doesn't exist. ,"Yes, it should be prohibited","No, it should not be allowed","No, it should not be allowed",Yes they should avoid it,No,Yes,No,Yes they should avoid it,,,Advertising+Counterfactual,CharitableFundraiser,Emb-Instruction|Judgment-Smoke|Body-Bowel|Body-Naked|Judgment-Sex|Judgment-Medicine|Body-Genital
5/1/2021 18:59,5/1/2021 19:15,IP Address,100,941,TRUE,5/1/2021 19:15,R_8HPWPLNrWiOO2Wd,anonymous,EN,Yes,5ee93ab8a93d8b15baf72fc5,22,Female,"100%		English (US)",,Caucasian,,United States of America,,United States of America,United States of America,Employed part time,"$100,000-$200,000",Some college but no degree,Very liberal,Strong democrat,2,2,5,5,2,2,2,2,6,7,7,7,I prefer no chaperone,Yes,My mom was my chaperone for a consultation for breast reduction surgery even though I asked her not to be,Do not care,Yes,Female,No,No,No,No,,Somewhat disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Somewhat agree,Somewhat disagree,Disagree,Yes,The person said he/she was envious of you.,,"Yes, the other person thought you have advantages because of lucky.",,I ignored it.,,6,Somewhat like,No preference,Neither like nor dislike,No preference,Neither like nor dislike,,,,,,,,,,,7,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,"My company earns $1,100,000; other organizer earns $10,000","My company earns $1,000,000; other organizer earns $10,000","My company earns $1,100,000; Daniel P. earns $55,000","My company earns $1,200,000; Daniel P. earns $60,000","My company earns $1,300,000; Daniel P. earns $65,000","My company earns $1,400,000; Daniel P. earns $70,000","My company earns $1,500,000; Daniel P. earns $75,000","My company earns $1,600,000; Daniel P. earns $80,000","My company earns $1,700,000; Daniel P. earns $85,000","My company earns $1,800,000; Daniel P. earns $90,000","My company earns $1,900,000; Daniel P. earns $95,000","My company earns $2,000,000; Daniel P. earns $100,000",4,4,3,5,5,fascism,any group or government can restrict bodily autonomy,"No, it should not be prohibited",Not Sure,"No, it should not be allowed",Yes they should avoid it,No,Yes,No,Yes they should avoid it,,,Charity+Counterfactual,CorporateFundraiser,Emb-Instruction|Body-Genital|Body-Naked|Judgment-Smoke|Judgment-Medicine|Judgment-Sex|Body-Bowel
5/1/2021 19:01,5/1/2021 19:16,IP Address,100,921,TRUE,5/1/2021 19:16,R_1jjpcTOsQbmUWH8,anonymous,EN,Yes,5d8934dc4c680f00181616f8,33,Female,"100%		English (US)",,Caucasian,,United States of America,,United States of America,United States of America,Employed full time,"Less than $25,000",Bachelor's degree in college (4-year),Moderate,Lean Democrat,4,4,4,3,4,4,5,5,6,6,2,2,I prefer to have a chaperone present but only if they are female,No,,Female Doctor,Yes,Male,Yes,"Yes, a female chaperone",No,No,,Strongly disagree,Strongly disgaree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagaree,Strongly disagree,Strongly disagree,No,,,,,,,,,No preference,Neither like nor dislike,Strongly prefer the middle door,Somewhat dislike,,,,,,,,,,,,,,,,5,5,5,5,1,,,,,,,,,,,,,,,,,,"My company earns $1,000,000; Daniel P. earns $50,000","My company earns $1,000,000; Daniel P. earns $50,000","My company earns $1,100,000; Daniel P. earns $55,000","My company earns $1,200,000; Daniel P. earns $60,000","My company earns $1,300,000; Daniel P. earns $65,000","My company earns $1,400,000; Daniel P. earns $70,000","My company earns $1,500,000; Daniel P. earns $75,000","My company earns $1,600,000; Daniel P. earns $80,000","My company earns $1,700,000; Daniel P. earns $85,000","My company earns $1,800,000; Daniel P. earns $90,000","My company earns $1,900,000; Daniel P. earns $95,000","My company earns $2,000,000; Daniel P. earns $100,000",5,5,6,5,5,people shouldn't wear masks.,Vaccines are dangerous.,"No, it should not be prohibited","Yes, it should be allowed","Yes, it should be allowed",No they shouldn’t avoid it,No,Yes,Yes,No they should't avoid it,,,Advertising+Counterfactual,CorporateFundraiser,Emb-Instruction|Judgment-Medicine|Judgment-Smoke|Body-Genital|Body-Naked|Body-Bowel|Judgment-Sex
5/1/2021 19:05,5/1/2021 19:17,IP Address,100,754,TRUE,5/1/2021 19:17,R_WxlSh1b7Oysy83D,anonymous,EN,Yes, 608e00922399b35dc86409cf ,23,Female,"100%		English (US)",,Caucasian,,United States of America,,United States of America,United States of America,Employed full time,"$25,000-$50,000",Bachelor's degree in college (4-year),Very liberal,Lean Democrat,1,1,1,2,1,3,3,1,1,1,1,1,I slightly prefer no chaperone,No,,Female Doctor,Yes,Male,No,"Yes, a female chaperone",Yes,No,,Somewhat disagree,Agree,Somewhat agree,Strongly disagree,Neither disagree nor agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Yes,The person said he/she was envious of you.,,No,,I downplayed my success.,,1,Strongly dislike,Prefer Jamie is somewhere else,Dislike,Prefer the front door,Somewhat dislike,1,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"My company earns $1,000,000; Daniel P. earns $50,000","My company earns $1,000,000; Daniel P. earns $50,000","My company earns $1,100,000; Daniel P. earns $55,000","My company earns $1,200,000; Daniel P. earns $60,000","My company earns $1,300,000; Daniel P. earns $65,000","My company earns $1,400,000; Daniel P. earns $70,000","My company earns $1,000,000; other organizer earns $10,000","My company earns $1,600,000; Daniel P. earns $80,000","My company earns $1,700,000; Daniel P. earns $85,000","My company earns $1,800,000; Daniel P. earns $90,000","My company earns $1,900,000; Daniel P. earns $95,000","My company earns $2,000,000; Daniel P. earns $100,000",1,1,5,2,2,white people are being discriminated against,,"No, it should not be prohibited","Yes, it should be allowed","Yes, it should be allowed",Not sure,Not Sure,Not Sure,Not Sure,Not Sure,,,Charity,CorporateFundraiser,Emb-Instruction|Judgment-Sex|Body-Genital|Body-Bowel|Judgment-Medicine|Judgment-Smoke|Body-Naked
5/1/2021 19:06,5/1/2021 19:18,IP Address,100,712,TRUE,5/1/2021 19:18,R_PtkEs3Y4kBTbgjv,anonymous,EN,Yes,5fc130fed6d5461168cc0b84,34,Female,"100%		English (US)",,Caucasian,,United States of America,,United States of America,United States of America,Employed full time,"$100,000-$200,000",Master's degree,Very Conservative,Strong Republican,3,3,5,2,1,1,1,1,1,1,4,4, I don’t have any preference about the presence/absence of a chaperone,No,,Do not care,Yes,Female,Yes,No,No,No,,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagaree,Strongly disagree,Strongly disagree,Yes,The person behaved coldly towards you.,,"Yes, the other person thought you did something unfair or improper.",,I was nice to the person.,,1,Dislike,Prefer Jamie is somewhere else,Dislike,Strongly prefer the middle door,Strongly Dislike,,,,,,4,4,4,4,4,,,,,,,,,,,"My charity earns $1,100,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000 ","My charity earns $1,000,000; other organizer earns $10,000 ","My charity earns $1,000,000; other organizer earns $10,000 ","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000",4,4,4,4,4,,,,,,,,,,,,,,,,,,all people should be looked at as equal. All people are not equal. Some people are higher up based on demographics and some people are higher up because of education/experience. Not everyone is equal.,"All people are good in some way. Not all people are good in some way. In fact, some people are not good at all. Not everyone is out to be your friend or protect you if given the chance. ","No, it should not be prohibited","Yes, it should be allowed","Yes, it should be allowed",No they shouldn’t avoid it,No,Yes,Yes,No they should't avoid it,,,Advertising,CharitableFundraiser,Emb-Instruction|Body-Bowel|Body-Genital|Judgment-Medicine|Body-Naked|Judgment-Smoke|Judgment-Sex
5/1/2021 19:06,5/1/2021 19:19,IP Address,100,812,TRUE,5/1/2021 19:19,R_2DMOlS0nBDrPYxn,anonymous,EN,Yes,6080615584caf6e578ad74eb,27,Female,"100%		English (US)",,Caucasian,,United States of America,,United States of America,United States of America,Employed full time,"$25,000-$50,000",Some college but no degree,Moderate,Lean Democrat,1,4,1,1,7,7,1,1,2,2,7,1,I prefer no chaperone,No,,Female Doctor,Yes,Female,Yes,No,No,No,,Somewhat disagree,Somewhat agree,Disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Disagree,Yes,The person behaved coldly towards you.,,No,,I ignored it.,,2,Neither like nor dislike,Prefer Jamie is somewhere else,Somewhat dislike,No preference,Neither like nor dislike,9,9,9,9,1,,,,,,,,,,,,,,,,"My charity earns $1,100,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000 ","My charity earns $1,000,000; other organizer earns $10,000 ","My charity earns $1,000,000; other organizer earns $10,000 ","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000","My charity earns $1,000,000; other organizer earns $10,000",1,1,1,1,1,,,,,,,,,,,,,,,,,,That black people do not deserve to have Black Lives Matter.,That any race is less than whites.,"Yes, it should be prohibited","Yes, it should be allowed","Yes, it should be allowed",Yes they should avoid it,Not Sure,Not Sure,Not Sure,Not Sure,,,Charity,CharitableFundraiser,Emb-Instruction|Judgment-Medicine|Body-Naked|Body-Genital|Body-Bowel|Judgment-Smoke|Judgment-Sex
5/1/2021 19:16,5/1/2021 19:27,IP Address,100,699,TRUE,5/1/2021 19:27,R_3F29vf84SIm9vfq,anonymous,EN,Yes,5edd13e3858a15a07241964b,29,Female,"100%		English (US)",,African American,,United States of America,,United States of America,United States of America,Employed full time,"$25,000-$50,000",Bachelor's degree in college (4-year),Liberal,Independent,1,1,1,1,1,1,1,1,1,2,1,2,I prefer no chaperone,No,,Do not care,Yes,Female,No,No,No,No,,Strongly disagree,Strongly disgaree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagaree,Strongly disagree,Strongly disagree,No,,,,,,,,,Prefer Jamie is present,Neither like nor dislike,Prefer the middle door,Neither like nor dislike,,,,,,2,1,1,2,3,,,,,,,,,,,"My charity earns $1,000,000; Daniel P. earns $50,000","My charity earns $1,000,000; Daniel P. earns $50,000","My charity earns $1,100,000; Daniel P. earns $55,000","My charity earns $1,200,000; Daniel P. earns $60,000 ","My charity earns $1,300,000; Daniel P. earns $65,000 ","My charity earns $1,400,000; Daniel P. earns $70,000","My charity earns $1,500,000; Daniel P. earns $75,000 ","My charity earns $1,600,000; Daniel P. earns $80,000 ","My charity earns $1,700,000; Daniel P. earns $85,000","My charity earns $1,800,000; Daniel P. earns $90,000 ","My charity earns $1,900,000; Daniel P. earns $95,000 ","My charity earns $2,000,000; Daniel P. earns $100,000 ",5,6,7,6,7,,,,,,,,,,,,,,,,,,People trying to hurt one another for personal gain with no thought of the other people and their well being. Damaging the feelings of others due to their own insecurity and the need to feel superior.,Taking resources from people who truly need it. People who selfishly think about their wants and needs during hard times that refuses to give out a helping hand. Allowing resources to go to waste.,"Yes, it should be prohibited","Yes, it should be allowed","Yes, it should be allowed",No they shouldn’t avoid it,Yes,Yes,Yes,No they should't avoid it,,,Advertising,CharitableFundraiser,Emb-Instruction|Body-Bowel|Body-Genital|Judgment-Sex|Body-Naked|Judgment-Smoke|Judgment-Medicine
5/1/2021 19:09,5/1/2021 19:28,IP Address,100,1148,TRUE,5/1/2021 19:28,R_2EfM3M9igXMDVMO,anonymous,EN,Yes,5d31b929b80d0a000185c7e6,24,Female,"100%		English (US)",,Caucasian,,United States of America,,United States of America,United States of America,Self-employed,"Less than $25,000",High school graduate (high school diploma or equivalent including GED),Very liberal,Not sure or no party identification,7,7,7,7,7,7,7,7,6,6,6,6,I prefer no chaperone,Yes,"My mother used to sit in on all of my appointments when I was a child, but her presence made me reluctant to talk with the doctors at all.",Female Doctor,Yes,Female,No,"Yes, a female chaperone",Yes,No,,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Disagree,Disagree,Disagree,Yes,The person behaved in a hostile way towards you.,,"Yes, the other person thought you have advantages because of lucky.",,I ignored it.,,7,Strongly dislike,Strongly prefer Jamie is somewhere else,Strongly Dislike,Strongly prefer the middle door,Strongly Dislike,,,,,,,,,,,,,,,,3,2,2,1,6,,,,,,,,,,,,,,,,,,"My company earns $1,100,000; other organizer earns $10,000","My company earns $1,000,000; other organizer earns $10,000","My company earns $1,100,000; Daniel P. earns $55,000","My company earns $1,200,000; Daniel P. earns $60,000","My company earns $1,300,000; Daniel P. earns $65,000","My company earns $1,400,000; Daniel P. earns $70,000","My company earns $1,500,000; Daniel P. earns $75,000","My company earns $1,600,000; Daniel P. earns $80,000","My company earns $1,700,000; Daniel P. earns $85,000","My company earns $1,800,000; Daniel P. earns $90,000","My company earns $1,900,000; Daniel P. earns $95,000","My company earns $2,000,000; Daniel P. earns $100,000",3,4,2,5,6,humans have a right to use animals however we please,creating more children is inherently good and should be encouraged,"Yes, it should be prohibited","No, it should not be allowed","No, it should not be allowed",No they shouldn’t avoid it,Yes,No,No,No they should't avoid it,,,Advertising+Counterfactual,CorporateFundraiser,Emb-Instruction|Judgment-Medicine|Judgment-Sex|Body-Naked|Body-Bowel|Judgment-Smoke|Body-Genital
